,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
38,Cldn15,Klhl24,Myl10,Rps3a1,Rps3a1,Fabp5,Rpl41,Rps27l,Fabp5,Mif,Rps3a1,Napsa,Pcna,Shfm1,Shfm1,Rpl41,Fam49b,Fabp5,Fabp5,Rps3a1,Rps3a1,Rplp0,Mcm6,Nhp2l1,Tnfrsf18,Prkcdbp,Ldha,Pcna,Rps21,Ldha,Ldha,Cacybp,Pcna,Pcna,Rps27l,Rpgrip1,Rps27l,Ranbp1,Rpgrip1,Mif,Mif,Mif,Mif,Actb,Fam49b
39,Lst1,Nfkbiz,Plxna4os1,Rps27l,Rpgrip1,Rps3a1,Actb,Ranbp1,Rps3a1,Fam49b,Rps27l,4930519L02Rik,Nhp2l1,Ldha,Ldha,Actb,Hmgn2,Rps3a1,Rps3a1,Rps27l,Rps27l,Cacybp,Rps21,Mcm6,Apobr,Satb1,Rplp0,Nhp2l1,Hells,Rplp0,Rplp0,Cox7b,Nhp2l1,Nhp2l1,Hp1bp3,Rps27l,Ranbp1,Actb,Rps27l,Rpl41,Fam49b,Rpl41,Fam49b,Mif,Hmgn2
40,1500009L16Rik,Jund,Fam84b,Hp1bp3,Rps27l,Rpgrip1,Mif,Actb,Rps27l,Hmgn2,Ranbp1,Selplg,Mcm6,Rplp0,Rplp0,Mif,Shfm1,Rps27l,Rps27l,Ranbp1,Ranbp1,Hsp90ab1,Hells,Rps21,Nefh,Tcp11l2,Cacybp,Mcm6,Dctpp1,Cacybp,Cacybp,Hsp90ab1,Mcm6,Mcm6,Ranbp1,Hp1bp3,Rpl41,Mif,Ranbp1,Fam49b,Hmgn2,Fam49b,Hmgn2,mt-Atp6,Shfm1
41,Klhl24,Mmrn1,Nfat5,Ranbp1,Hp1bp3,Rps27l,Fam49b,Mif,Ddx5,Shfm1,Rpl41,Cpne2,Rps21,Cacybp,Cacybp,Fam49b,Ldha,Ddx5,Ddx5,Rpl41,Rpl41,Idi1,Dctpp1,Hells,Chd3,Akap17b,Hsp90ab1,Rps21,Rpl23,Cox7b,Cox7b,Pcna,Rps21,Rps21,Actb,Actb,Actb,mt-Atp6,Actb,Hmgn2,Shfm1,Hmgn2,Shfm1,Fam49b,Ldha
42,Nfkbiz,Cish,Rec8,Actb,Actb,Ddx5,Hmgn2,Rpl41,Ranbp1,Ldha,Actb,Fam189b,Hells,Cox7b,Cox7b,Hmgn2,Rplp0,Hp1bp3,Hp1bp3,Actb,Actb,Pcna,Rpl23,Dctpp1,Lgals9,Tnip3,Idi1,Hells,Cox5a,Hsp90ab1,Hsp90ab1,Chd4,Hells,Hells,Mif,Mif,Mif,Fam49b,Mif,Shfm1,Ldha,Shfm1,Ldha,Hmgn2,Rplp0
43,Jund,Neurl3,Gimap5,Mif,Mif,Actb,Shfm1,Fam49b,Actb,Rplp0,Mif,Serpinb1a,Dctpp1,Hsp90ab1,Hsp90ab1,Shfm1,Cacybp,Actb,Actb,Mif,Mif,Nhp2l1,Cox5a,Rpl23,Ctsf,Trp53i11,Pcna,Dctpp1,H3f3a,Pcna,Pcna,Nhp2l1,Dctpp1,Dctpp1,mt-Atp6,mt-Atp6,mt-Atp6,Rpl41,mt-Atp6,Ldha,Rplp0,Ldha,Rplp0,Shfm1,Cacybp
44,Mmrn1,Lpar6,Fcho2,mt-Atp6,mt-Atp6,Mif,Ldha,Hmgn2,Mif,Cacybp,mt-Atp6,Gm9888,Rpl23,Pcna,Pcna,Ldha,Cox7b,Mif,Mif,mt-Atp6,mt-Atp6,Mcm6,H3f3a,Cox5a,Bcl11a,Tmem71,Nhp2l1,Rpl23,Rpl38,Chd4,Chd4,Mcm6,Rpl23,Rpl23,Fam49b,Fam49b,Fam49b,Hmgn2,Fam49b,Rplp0,Cacybp,Rplp0,Cacybp,Ldha,Cox7b
45,Cish,Myl10,Glul,Fam49b,Fam49b,mt-Atp6,Rplp0,Shfm1,mt-Atp6,Cox7b,Fam49b,Igsf6,Cox5a,Chd4,Chd4,Rplp0,Rpn1,mt-Atp6,mt-Atp6,Fam49b,Fam49b,Rps21,Rpl38,H3f3a,Padi2,Gm20467,Mcm6,Cox5a,Hnrnpa3,Nhp2l1,Nhp2l1,Rps21,Cox5a,Cox5a,Rpl41,Ranbp1,Hmgn2,Calr,Rpl41,Cacybp,Cox7b,Cacybp,Cox7b,Rplp0,Rpn1
46,Cuedc1,Plxna4os1,Fam134b,Rpl41,Ranbp1,Fam49b,Cacybp,Ldha,Fam49b,Rpn1,Hmgn2,Gata2,H3f3a,Nhp2l1,Nhp2l1,Cacybp,Hsp90ab1,Fam49b,Fam49b,Hmgn2,Hmgn2,Hells,Hnrnpa3,Rpl38,Herc3,Mdfi,Rps21,H3f3a,Ung,Mcm6,Mcm6,Hells,H3f3a,H3f3a,Hmgn2,Rpl41,Calr,Shfm1,Hmgn2,Cox7b,Rpn1,Cox7b,Rpn1,Cacybp,Hsp90ab1
47,Lpar6,Fam84b,Jun,Calr,Rpl41,Ranbp1,Cox7b,Rplp0,Rpl41,Hsp90ab1,Calr,Sept1,Rpl38,Mcm6,Mcm6,Cox7b,Ssr4,Ranbp1,Ranbp1,Shfm1,Shfm1,Dctpp1,Ung,Hnrnpa3,Impact,Osbpl1a,Hells,Rpl38,Atp5g1,Rps21,Rps21,Dctpp1,Rpl38,Rpl38,Calr,Hmgn2,Shfm1,Ldha,Calr,Rpn1,Hsp90ab1,Rpn1,Hsp90ab1,Cox7b,Ssr4
48,Neurl3,Nfat5,Gm16104,Shfm1,Calr,Rpl41,Rpn1,Cacybp,Hmgn2,Ssr4,Shfm1,Fam129a,Hnrnpa3,Rps21,Rps21,Rpn1,Pcna,Rpl41,Rpl41,Ldha,Ldha,Rpl23,Atp5g1,Ung,Plekhm2,Crebl2,Dctpp1,Hnrnpa3,Rps14,Hells,Hells,Rpl23,Hnrnpa3,Hnrnpa3,Shfm1,Calr,Ldha,Rplp0,Shfm1,Hsp90ab1,Ssr4,Hsp90ab1,Ssr4,Rpn1,Pcna
49,Ptgs1,Rec8,Dst,Ldha,Shfm1,Ctr9,Hsp90ab1,Cox7b,Calr,Pcna,Ldha,Lat2,Ung,Hells,Hells,Hsp90ab1,P4hb,Hmgn2,Hmgn2,Chchd10,Chchd10,Cox5a,Rps14,Atp5g1,Prkcdbp,Hacd4,Rpl23,Ung,Atpif1,Dctpp1,Dctpp1,Cox5a,Ung,Ung,Ldha,Shfm1,Rplp0,Cacybp,Ldha,Ssr4,Pcna,Ssr4,Pcna,Hsp90ab1,P4hb
50,Myl10,Gimap5,Ttc28,Rplp0,Ldha,Hmgn2,Ssr4,Rpn1,Shfm1,P4hb,Rplp0,Fam65a,Gpx1,Dctpp1,Dctpp1,Ssr4,Dnajc3,Shfm1,Shfm1,Rplp0,Rplp0,H3f3a,Atpif1,Rps14,Tpm2,Ltb,Cox5a,Atp5g1,Capza2,Rpl23,Rpl23,H3f3a,Gpx1,Gpx1,Rplp0,Ldha,Cacybp,Cox7b,Rplp0,Pcna,Dnajc3,Pcna,P4hb,Ssr4,Dnajc3
51,Plxna4os1,Fcho2,Mecom,Cacybp,Rplp0,Calr,Pcna,Hsp90ab1,Ldha,Dnajc3,Cacybp,Il1rl1,Atp5g1,Rpl23,Rpl23,Pcna,Fxyd5,Ldha,Ldha,Cacybp,Cacybp,Rpl38,Ifrd2,Atpif1,Satb1,Mir142hg,H3f3a,Rps14,Rpl32,Cox5a,Cox5a,Rpl38,Atp5g1,Atp5g1,Cacybp,Rplp0,Cox7b,Rpn1,Cacybp,P4hb,Fxyd5,P4hb,Dnajc3,Pcna,Nhp2l1
52,Fam84b,Glul,Aldh1l1,Cox7b,Cacybp,Shfm1,P4hb,Ssr4,Rplp0,Fxyd5,Cox7b,Spi1,Rps14,Cox5a,Cox5a,Ass1,Nhp2l1,Rplp0,Rplp0,Cox7b,Cox7b,Hnrnpa3,Rpl32,Rpl32,Akap17b,Adgrl4,Rpl38,Atpif1,Ddx39,H3f3a,H3f3a,Hnrnpa3,Rps14,Rps14,Cox7b,Cacybp,Rpn1,Hsp90ab1,Cox7b,Dnajc3,Nhp2l1,Dnajc3,Nhp2l1,Chd4,Mcm6
53,Nfat5,Fam134b,Gm12216,Rpn1,Cox7b,Ldha,Spint2,Pcna,Cacybp,Nhp2l1,Rpn1,Atp8b4,Atpif1,H3f3a,H3f3a,Dnajc3,Mcm6,Cacybp,Cacybp,Rpn1,Rpn1,Ung,Ddx39,Ddx39,Tnip3,Zbtb16,Hnrnpa3,Capza2,Rps20,Rpl38,Rpl38,Ung,Atpif1,Atpif1,Rpn1,Cox7b,Hsp90ab1,Ssr4,Rpn1,Nhp2l1,Mcm6,Nhp2l1,Mcm6,P4hb,Rps21
54,Rec8,Jun,Kdm6b,Hsp90ab1,Rpn1,Fermt3,Dnajc3,P4hb,Cox7b,Mcm6,Hsp90ab1,Adrbk2,Capza2,Rpl38,Rpl38,Fxyd5,Rps21,Cox7b,Cox7b,Hsp90ab1,Hsp90ab1,Atp5g1,Rps20,Rps20,Trp53i11,Pnck,Ung,Rpl32,Rplp1,Hnrnpa3,Hnrnpa3,Gpx1,Rpl32,Rpl32,Hsp90ab1,Rpn1,Ssr4,Pcna,Hsp90ab1,Mcm6,Rps21,Mcm6,Rps21,Dnajc3,Tmed3
55,Gimap5,Gm16104,Junb,Ssr4,Hsp90ab1,Rplp0,Nhp2l1,Spint2,Rpn1,Rps21,Ssr4,Tm6sf1,Rpl32,Hnrnpa3,Hnrnpa3,Nhp2l1,Tmed3,Rpn1,Rpn1,Ssr4,Ssr4,Rps14,Rplp1,Rplp1,Tmem71,Prkg1,Atp5g1,Ddx39,Tpt1,Kcnq1ot1,Kcnq1ot1,Atp5g1,Ddx39,Ddx39,Ssr4,Hsp90ab1,Pcna,Chd4,Ssr4,Rps21,Tmed3,Rps21,Tmed3,Nhp2l1,Hells
56,Fcho2,Pear1,Shisa5,Pcna,Ssr4,Cacybp,Mcm6,Dnajc3,Hsp90ab1,Tmed3,Pcna,5730508B09Rik,Ddx39,Kcnq1ot1,Kcnq1ot1,Mcm6,Hells,Hsp90ab1,Hsp90ab1,Pcna,Pcna,Atpif1,Tpt1,Tpt1,Gm20467,Ogt,Rps14,mt-Co2,Syce2,Mbnl1,Mbnl1,Rps14,Rps20,Rps20,Pcna,Ssr4,Chd4,P4hb,Pcna,Tmed3,Hells,Tmed3,Hells,Mcm6,Ostc
57,Glul,Dst,Gprc5b,Chd4,Pcna,Cox7b,Rps21,Nhp2l1,Idi1,Hells,Chd4,Ifngr1,Rps20,Mbnl1,Mbnl1,Rps21,Ostc,Ssr4,Ssr4,Chd4,Chd4,Rpl32,Syce2,Syce2,Pbx1,Calcoco1,Atpif1,Rpl23a,Rpl10,Ung,Ung,Atpif1,Mrpl33,Mrpl33,Chd4,Pcna,P4hb,Dnajc3,Chd4,Hells,Ostc,Hells,Ostc,Rps21,Dctpp1
58,Fam134b,Ttc28,Basp1,Dnajc3,Chd4,Rpn1,Tmed3,Mcm6,Ssr4,Ostc,P4hb,Klf1,Mrpl33,Ung,Ung,Tmed3,Dctpp1,Pcna,Pcna,P4hb,P4hb,Ddx39,Rpl10,Rpl10,Ctla2a,P3h3,Ifrd2,Rps20,Rpl37,Atp5g1,Atp5g1,Rpl32,Rplp1,Rplp1,Dnajc3,Chd4,Dnajc3,Nhp2l1,P4hb,Ostc,Dctpp1,Ostc,Dctpp1,Tmed3,Rpl23
59,Idi1,Mecom,Nfkbia,Fxyd5,Dnajc3,Hsp90ab1,Hells,Rps21,Pcna,Dctpp1,Dnajc3,Cpa3,Rplp1,Atp5g1,Atp5g1,Hells,Rpl23,Chd4,Chd4,Dnajc3,Dnajc3,mt-Co2,Rpl37,Rpl37,Mdfi,Ryk,Rpl32,Rplp1,Erh,Rps14,Rps14,Ddx39,Tpt1,Tpt1,Fxyd5,Dnajc3,Nhp2l1,Mcm6,Dnajc3,Dctpp1,Rpl23,Dctpp1,Rpl23,Hells,Cox5a
60,Gm16104,Aldh1l1,Ppp1r9a,Nhp2l1,Fxyd5,Idi1,Ostc,Tmed3,Chd4,Rpl23,Fxyd5,Gm2a,Tpt1,Rps14,Rps14,Ostc,Cox5a,Dnajc3,Dnajc3,Fxyd5,Fxyd5,Rpl23a,Erh,Erh,Osbpl1a,Cd274,Ddx39,Tpt1,Clic1,Atpif1,Atpif1,mt-Co2,Cmtm7,Syce2,Nhp2l1,Fxyd5,Mcm6,Rps21,Nhp2l1,Rpl23,Cox5a,Rpl23,Cox5a,Ostc,H3f3a
61,Pear1,Gm12216,Dusp1,Mcm6,Nhp2l1,Ssr4,Dctpp1,Hells,P4hb,Cox5a,Nhp2l1,Slc4a8,Cmtm7,Atpif1,Atpif1,Dctpp1,H3f3a,Fxyd5,Fxyd5,Nhp2l1,Nhp2l1,Rps20,Clic1,Clic1,Stx3,Myct1,mt-Co2,Syce2,Hspe1,Rpl32,Rpl32,Rpl23a,Syce2,Rpl10,Mcm6,Nhp2l1,Rps21,Tmed3,Mcm6,Cox5a,H3f3a,Cox5a,H3f3a,Dctpp1,Hspa5
62,Dst,Abcg2,Tmem140,Rps21,Mcm6,Pcna,Rpl23,Ostc,Dnajc3,H3f3a,Mcm6,Anxa1,Syce2,Capza2,Capza2,Rpl23,Hspa5,Nhp2l1,Nhp2l1,Mcm6,Mcm6,Rplp1,Hspe1,Hspe1,Angpt1,Mettl7a1,Rpl23a,Rpl10,Hnrnpab,Ddx39,Ddx39,Rps20,Rpl10,Rpl37,Rps21,Mcm6,Tmed3,Hells,Rps21,H3f3a,Hspa5,H3f3a,Hspa5,Rpl23,Rpl38
63,Jun,Kdm6b,Stat4,Tmed3,Rps21,Chd4,Cox5a,Dctpp1,Nhp2l1,Hspa5,Rps21,Tespa1,Rpl10,Rpl32,Rpl32,Cox5a,Rpl38,Mcm6,Mcm6,Rps21,Rps21,Tpt1,Hnrnpab,Hnrnpab,Nrip1,Rgs1,Rps20,Rpl37,Rpl12,mt-Co2,mt-Co2,Mrpl33,Rpl37,Cd81,Tmed3,Rps21,Hells,Ostc,Tmed3,Hspa5,Rpl38,Hspa5,Rpl38,Cox5a,Hnrnpa3
64,Ttc28,Junb,Sat1,Hells,Tmed3,P4hb,H3f3a,Rpl23,Mcm6,Rpl38,Tmed3,Gstm5,Rpl37,Ddx39,Ddx39,H3f3a,Hnrnpa3,Rps21,Rps21,Tmed3,Tmed3,Syce2,Rpl12,Rpl12,Marcksl1,Cxxc5,Rplp1,Erh,Rps26,Rpl23a,Rpl23a,Nedd4,Cd81,Erh,Hells,Tmed3,Ostc,Dctpp1,Hells,Rpl38,Hnrnpa3,Rpl38,Hnrnpa3,H3f3a,Actr3
65,Mecom,Shisa5,Hivep3,Ostc,Hells,Dnajc3,Hspa5,Cox5a,Rps21,Hnrnpa3,Hells,Gm17590,Cd81,mt-Co2,mt-Co2,Hspa5,Actr3,Tmed3,Tmed3,Hells,Hells,Rpl10,Rps26,Rps26,Crebl2,Gcnt2,Tpt1,mt-Co1,Ppp1r14b,Rps20,Rps20,Rplp1,Erh,Clic1,Ostc,Hells,Dctpp1,Rpl23,Ostc,Hnrnpa3,Actr3,Hnrnpa3,Actr3,Hspa5,Ung
66,Aldh1l1,Gng11,1700040L02Rik,Dctpp1,Ostc,Nhp2l1,Rpl38,H3f3a,Tmed3,Actr3,Ostc,Egfl7,Erh,Rpl23a,Rpl23a,Rpl38,Ung,Hells,Hells,Ostc,Ostc,Rpl37,Ppp1r14b,Ppp1r14b,Ltb,Pard3b,Syce2,Hspe1,Nhp2,Mrpl33,Mrpl33,Tpt1,Clic1,Hspe1,Dctpp1,Ostc,Rpl23,Cox5a,Dctpp1,Actr3,Ung,Actr3,Ung,Rpl38,Gpx1
67,Gm12216,Gprc5b,Ifitm1,Rpl23,Dctpp1,Mcm6,Hnrnpa3,Hspa5,Hells,Ung,Dctpp1,Hk3,Clic1,Rps20,Rps20,Hnrnpa3,Gpx1,Ostc,Ostc,Dctpp1,Dctpp1,Erh,Nhp2,Nhp2,Mir142hg,Ppp1r15a,Rpl10,Hnrnpab,Fus,Rplp1,Nedd4,Syce2,Hspe1,Hnrnpab,Rpl23,Dctpp1,Cox5a,H3f3a,Rpl23,Ung,Atp5g1,Ung,Atp5g1,Hnrnpa3,Atp5g1
68,Abcg2,Bex4,Tsc22d1,Cox5a,Rpl23,Rps21,Actr3,Rpl38,Ostc,Atp5g1,Rpl23,Tyrobp,Hspe1,Mrpl33,Mrpl33,Actr3,Atp5g1,Dctpp1,Dctpp1,Rpl23,Rpl23,mt-Co1,Fus,Fus,Adgrl4,Ctxn1,Rpl37,Rpl12,Rpl13,Tpt1,Rplp1,Rpl10,Hnrnpab,Rpl12,Cox5a,Rpl23,H3f3a,Hspa5,Cox5a,Atp5g1,Rps14,Atp5g1,Rps14,Actr3,Rps14
69,Kdm6b,Trpc6,Rab6b,H3f3a,Cox5a,Tmed3,Ung,Hnrnpa3,Dctpp1,Rps14,Cox5a,Rab44,Hnrnpab,Rplp1,Rplp1,Ung,Rps14,Rpl23,Rpl23,Cox5a,Cox5a,Hspe1,Rpl13,Rpl13,Zbtb16,Ier3,Erh,Rps26,Rpsa,Malat1,Tpt1,Rpl37,Rpl12,Rps26,H3f3a,Cox5a,Hspa5,Rpl38,H3f3a,Rps14,Atpif1,Rps14,Atpif1,Ung,Atpif1
70,Junb,Basp1,Txnip,Hspa5,H3f3a,Hells,Gpx1,Actr3,Rpl23,Atpif1,H3f3a,Ddah2,Rpl12,Tpt1,Tpt1,Gpx1,Atpif1,Cox5a,Cox5a,H3f3a,H3f3a,Hnrnpab,Rpsa,Rpsa,Pnck,Hoxb4,Clic1,Ppp1r14b,Ndufa4,Syce2,Malat1,mt-Nd5,Rps26,Ppp1r14b,Hspa5,H3f3a,Rpl38,Hnrnpa3,Hspa5,Atpif1,Ifrd2,Atpif1,Ifrd2,Gpx1,Pdia6
71,Shisa5,Nfkbia,Maml2,Rpl38,Hspa5,Icam4,Atp5g1,Ung,Cox5a,Ifrd2,Hspa5,Itga4,Rps26,Malat1,Malat1,Atp5g1,Ifrd2,H3f3a,H3f3a,Hspa5,Hspa5,Rpl12,Ndufa4,Ndufa4,Prkg1,Erg,mt-Co1,Nhp2,Eif4a1,Rpl10,Syce2,Cd81,Ppp1r14b,Nhp2,Rpl38,Hspa5,Hnrnpa3,Actr3,Rpl38,Pdia6,Capza2,Pdia6,Pdia6,Atp5g1,Rpl32
72,Gng11,Ppp1r9a,Dennd1c,Hnrnpa3,Rpl38,Ostc,Atpif1,Gpx1,H3f3a,Pdia6,Rpl38,Fcer1g,Ppp1r14b,Syce2,Syce2,Atpif1,Pdia6,Hspa5,Hspa5,Rpl38,Rpl38,Rps26,Eif4a1,Eif4a1,Ogt,Fam69b,Hspe1,Fus,Rps7,Rpl37,Rpl10,Erh,Sh3bgrl3,Fus,Hnrnpa3,Rpl38,Actr3,Ung,Hnrnpa3,Rpl32,Pdia6,Rpl32,Rpl32,Rps14,Ddx39
73,Gprc5b,Dusp1,Gm11837,Actr3,Hnrnpa3,Dctpp1,Rps14,Atp5g1,Hspa5,Rpl32,Hnrnpa3,Cd34,Sh3bgrl3,Rpl10,Rpl10,Rps14,Rpl32,Rpl38,Rpl38,Hnrnpa3,Hnrnpa3,Ppp1r14b,Rps7,Rps7,Slco3a1,Gm16140,Hnrnpab,mt-Nd2,Smc1a,mt-Nd5,Rpl37,mt-Co1,Nhp2,Rpl13,Actr3,Hnrnpa3,Mbnl1,Atp5g1,Actr3,Ddx39,Rpl32,Ddx39,Ddx39,Atpif1,Ftl1
74,Bex4,Tmem140,Msmo1,Kcnq1ot1,Actr3,Rpl23,Ifrd2,Rps14,Rpl38,Ddx39,Actr3,Gm15658,Nhp2,Rpl37,Rpl37,Ifrd2,Ddx39,Hnrnpa3,Hnrnpa3,Actr3,Actr3,Nhp2,Mrpl52,Smc1a,Calcoco1,Cyp2j6,Rpl12,Rpl13,Hint1,Cd81,mt-Nd5,Hspe1,Fus,Rpsa,Mbnl1,Actr3,Ung,Rps14,Ung,Ftl1,Ddx39,Ftl1,Ftl1,Pdia6,Rps20
75,Trpc6,Stat4,Art4,Mbnl1,Kcnq1ot1,Cox5a,Pdia6,Atpif1,Hnrnpa3,Ftl1,Mbnl1,Laptm5,Fus,mt-Nd5,mt-Nd5,Capza2,Ftl1,Actr3,Actr3,Kcnq1ot1,Kcnq1ot1,Fus,Smc1a,Hint1,P3h3,Grasp,Rps26,Lmnb1,Eif2s2,Erh,Cd81,Hnrnpab,Ptpn18,Ndufa4,Ung,Mbnl1,Atp5g1,Atpif1,Atp5g1,Rps20,Ftl1,Rps20,Rps20,Rpl32,Mrpl33
76,Basp1,Sat1,Sesn3,Ung,Mbnl1,H3f3a,Rpl32,Pdia6,Actr3,Rps20,Ung,Gm11697,Ptpn18,Cd81,Cd81,Pdia6,Rps20,Kcnq1ot1,Kcnq1ot1,Mbnl1,Mbnl1,mt-Nd2,Hint1,Eif2s2,Sugp2,Plp2,Ppp1r14b,Rpsa,Ncl,Clic1,Erh,Rpl12,Rpl13,Eif4a1,Atp5g1,Ung,Rps14,Pdia6,Rps14,Mrpl33,Rps20,Mrpl33,Mrpl33,Ddx39,Rplp1
77,Nfkbia,Tbxas1,Maged1,Atp5g1,Ung,Hspa5,Ddx39,Rpl32,Ung,Mrpl33,Atp5g1,Mpo,Rpl13,Erh,Erh,Rpl32,Mrpl33,Mbnl1,Mbnl1,Ung,Ung,Rpl13,Eif2s2,Ncl,Cd274,Krt18,Nhp2,Ndufa4,Ran,mt-Co1,Clic1,Rps26,Rpsa,Rps7,Rps14,Atp5g1,Atpif1,Rpl32,Atpif1,Rplp1,Mrpl33,Rplp1,Rplp1,mt-Co2,Tpt1
78,Ppp1r9a,Hivep3,Dmkn,Atpif1,Atp5g1,Rpl38,Ftl1,Ddx39,Atp5g1,Rplp1,Rps14,Epdr1,Rpsa,Clic1,Clic1,Ddx39,Rplp1,Ung,Ung,Atp5g1,Atp5g1,Lmnb1,Ncl,Ran,Myct1,Gata3,Fus,Eif4a1,Prdx1,Hspe1,mt-Co1,Ppp1r14b,Ndufa4,Smc1a,Atpif1,Rps14,Ifrd2,Ddx39,Pdia6,Tpt1,Rplp1,Tpt1,Tpt1,Rpl23a,Syce2
79,Dusp1,1700040L02Rik,Trove2,Ifrd2,Atpif1,Hnrnpa3,Rps20,Ftl1,Atpif1,Tpt1,Atpif1,Trf,Ndufa4,mt-Co1,mt-Co1,Ftl1,Tpt1,Atp5g1,Atp5g1,Rps14,Rps14,Rpsa,Ran,Prdx1,Mta3,Cd59a,mt-Nd2,Anp32e,Rbm3,Hnrnpab,Hspe1,Nhp2,Eif4a1,Hint1,Ifrd2,Atpif1,Pdia6,mt-Co2,Rpl32,Syce2,Tpt1,Syce2,Syce2,Rps20,Rpl10
