,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
123,Sgce,Fam101b,Ptms,Hint1,Smc1a,Rps7,Baz1a,Ddost,Smc1a,Baz1a,Hint1,Rhoh,Ifitm2,H2-K1,Hspa8,Erdr1,Baz1a,Anp32e,Anp32e,Smc1a,Smc1a,Rpl10a,Psip1,Rpl30,Smad7,Calcrl,Rps8,Parp1,Psmb10,Hspa8,Hspa8,Clspn,Ifitm2,Psip1,Smc1a,Rps7,Prdx1,Rpl22l1,Pdia3,Slc25a5,Rpl21,Slc25a5,Tmed2,Ddost,Rexo2
124,Bicd1,Cd74,Fosb,Eif2s2,Hint1,Smc1a,Lamp1,Tmed2,Hint1,Atp5o,Eif2s2,Rgs2,Serbp1,Hspa8,Zfp706,Ubb,Atp5o,Eif4a1,Eif4a1,Hint1,Hint1,Gnai2,Rfc2,Rpl14,Cnrip1,Pdzk1ip1,Hnrnpd,Psme1,Srm,Zfp706,Zfp706,Alyref,Serbp1,Rfc2,Hint1,Smc1a,Rbm3,Rpl21,Erdr1,Rexo2,Atp5o,Rexo2,Erp29,Tmed2,H3f3b
125,Eid2,Nrxn1,Snap47,Ncl,Eif2s2,Hint1,Atp5o,Erp29,Eif2s2,Ddost,Ncl,Cd48,Psme1,Zfp706,Set,Cirbp,Ddost,Rps7,Rps7,Eif2s2,Eif2s2,Eef2,Rpl30,Psmb10,Med12l,Tcf15,Rpl9,mt-Nd1,Cycs,Set,Set,Rbm39,Psme1,Rpl30,Eif2s2,Hint1,Rpl18a,Atp5o,Phgdh,H3f3b,Ddost,H3f3b,Nolc1,Nolc1,Phb2
126,Tsc22d3,Pglyrp2,Ccdc112,Ran,Ncl,Msrb1,Ddost,Nolc1,Ncl,Tmed2,Ran,Ermap,Nasp,Set,Pa2g4,Rpl22l1,Tmed2,Smc1a,Smc1a,Ncl,Ncl,Serbp1,Rpl14,Srm,Myo1c,Wbscr27,Alyref,Nasp,Rpl17,Pa2g4,Gatad1,Eif1,Nasp,Rpl14,Ncl,Eif2s2,Glrx5,Ddost,Rpl22l1,Phb2,Tmed2,Phb2,Uqcrq,Uqcrq,Rps4x
127,Socs2,Selp,Hist1h2bc,Rps12,Ran,Ncl,Tmed2,Pnp,Ran,Erp29,Rps12,H2-DMa,Psip1,Pa2g4,Dnmt1,Phgdh,Erp29,Hint1,Hint1,Ran,Ran,Parp1,Psmb10,Cycs,Il18,Exoc6b,Rbm39,Psip1,Cd47,Dnmt1,Pa2g4,Atad2,Psip1,Srm,Ran,Ncl,Gatm,Tmed2,Rpl21,Rps4x,Erp29,Rps4x,Slc25a5,Slc25a5,Serf2
128,Nap1l3,Egr1,Gstm1,Prdx1,Rps12,Nefh,Erp29,Uqcrq,Rps12,Nolc1,Prdx1,Ctsg,Psmb8,Dnmt1,mt-Cytb,Rpl21,Nolc1,Eif2s2,Eif2s2,Rps12,Rps12,Psme1,Srm,Rpl17,Bicd1,Gm26735,Eif1,Rfc2,Rpl24,mt-Cytb,Dnmt1,Dek,Psmb8,Dynll1,Rps12,Ran,Hsp90aa1,Nolc1,Lamp1,Serf2,Nolc1,Serf2,Rexo2,Rexo2,Sec11c
129,Itm2a,Zfhx3,Irf1,Rbm3,Prdx1,Rps12,Nolc1,Slc25a5,Prdx1,Uqcrq,Rbm3,Car1,Rfc2,mt-Cytb,Rps2,Atp5o,Uqcrq,Ncl,Ncl,Prdx1,Prdx1,mt-Nd1,Cycs,Cd47,Cd74,Atp2b4,Dek,Rpl30,Pfn1,Rps2,mt-Cytb,Rpl10a,Rfc2,Cycs,Prdx1,Rps12,Pdia3,Uqcrq,Atp5o,Sec11c,Uqcrq,Sec11c,H3f3b,Phb2,Tk1
130,Fam101b,Fnbp1l,Impact,Rpl18a,Rbm3,Ran,Uqcrq,Rexo2,Rbm3,Slc25a5,Rpl18a,1700020L24Rik,Rpl30,Rps2,Fam96a,Ddost,Slc25a5,Ran,Ran,Rbm3,Rbm3,Arpc1a,Rpl17,Rpl24,Ltc4s,Ttc39b,Rpl10a,Rpl14,Srsf7,Fam96a,Rps2,Eef2,Rpl30,Rpl17,Rbm3,Prdx1,Erdr1,Slc25a5,Ddost,Emp3,Slc25a5,Emp3,Alad,Rps4x,Emp3
131,Cd74,Dstn,Emcn,Glrx5,Rpl18a,Prdx1,Pnp,Sh3glb1,Rpl18a,Rexo2,Glrx5,Lmo4,Calm2,Fam96a,Slbp,Tmed2,Rexo2,Rps12,Rps12,Rpl18a,Rpl18a,Nasp,Cd47,Pfn1,Wfdc17,Esam,Gnai2,Psmb10,Cox5b,Slbp,Fam96a,Serbp1,Rpl14,Cd47,Rpl18a,Rbm3,Ubb,Rexo2,Tmed2,Cbx3,Rexo2,Cst3,Rps4x,Serf2,Cbx3
132,Nrxn1,Prmt2,Plekhm2,Tmsb4x,Glrx5,Rbm3,Slc25a5,H3f3b,Glrx5,H3f3b,Gatm,Cd52,Rpl14,Slbp,Rps8,Erp29,H3f3b,Prdx1,Prdx1,Glrx5,Glrx5,Psip1,Rpl24,Srsf7,Dok2,Cd72,Eef2,Srm,Eef1a1,Rps8,Slbp,Psme1,Srm,Rpl24,Glrx5,Rpl18a,Phgdh,Phb2,Nolc1,Ptma,H3f3b,Cbx3,Phb2,Sec11c,Ptma
133,Pglyrp2,Tie1,Hlf,Hsp90aa1,Tmsb4x,Rpl18a,Rexo2,Ly6e,Gatm,Alad,Hsp90aa1,Slco3a1,Srm,Rps8,Hnrnpd,Nolc1,Alad,Rbm3,Rbm3,Gatm,Gatm,Rfc2,Pfn1,Cox5b,Ccl3,Mxd4,Ifitm2,Cycs,H2afj,Hnrnpd,Rps8,mt-Nd1,Dynll1,Pfn1,Hsp90aa1,Glrx5,Rpl22l1,Rps4x,Uqcrq,H2-K1,Alad,Ptma,Serf2,Atrx,H2-K1
134,Selp,Hdgfrp3,Dennd5b,Pdia3,Hsp90aa1,Samsn1,Phb2,Rps4x,Hsp90aa1,Rps4x,Pdia3,Rec114,Dynll1,Hnrnpd,Rpl9,Uqcrq,Rps4x,Rpl18a,Rpl18a,Hsp90aa1,Hsp90aa1,Rpl30,Srsf7,Eef1a1,Gm11697,Gsta4,Serbp1,Rpl17,B2m,Rpl9,Hnrnpd,Nasp,Cycs,Srsf7,Pdia3,Hsp90aa1,Rpl21,Serf2,Slc25a5,Hspa8,Rps4x,H2-K1,Sec11c,Emp3,Hspa8
135,Chst13,Ahdc1,Klf2,Erdr1,Pdia3,Hsp90aa1,Alad,Phb2,Erdr1,Phb2,Erdr1,Slc38a5,Cycs,Rpl9,Clspn,Pnp,Phb2,Glrx5,Glrx5,Gmfg,Pdia3,Rpl14,Cox5b,H2afj,Hdgfrp3,Ptprcap,Parp1,Cd47,Gpx4,Alyref,Rpl9,Psip1,Rpl17,Etfb,Erdr1,Pdia3,Baz1a,Sec11c,Tspo,Zfp706,Phb2,Hspa8,Emp3,Cbx3,Zfp706
136,Egr1,Zfp36,Thap1,Ubb,Erdr1,Erdr1,H3f3b,Serf2,Pdia3,Serf2,Ubb,Mta3,Rpl17,Alyref,Alyref,Slc25a5,Serf2,Tmsb4x,Tmsb4x,Pdia3,Erdr1,Psmb10,Eef1a1,B2m,Ahdc1,H2-Q6,Psme1,Rpl24,Cox8a,Xist,Clspn,Rfc2,Cd47,Tyms,Ubb,Erdr1,Lamp1,Atrx,Rexo2,Set,Serf2,Zfp706,Cst3,Rps25,Set
137,Zfhx3,Lysmd2,Tcf7l2,Phgdh,Ubb,Pdia3,Serf2,Sec11c,Ubb,Sec11c,Phgdh,Ugcg,Cd47,Xist,Xist,S100a10,Sec11c,Hsp90aa1,Hsp90aa1,Erdr1,Ubb,Srm,H2afj,Gpx4,Mkl2,Rcn3,mt-Nd1,Pfn1,Hmgn1,Rbm39,Alyref,Rpl30,Rpl24,Eef1a1,Phgdh,Ubb,Atp5o,Emp3,Phb2,Pa2g4,Sec11c,Set,Cyba,Ptma,Pa2g4
138,Fnbp1l,Mkl2,Tcp11l2,Rpl22l1,Phgdh,Phgdh,Ly6e,Emp3,Phgdh,Emp3,Rpl22l1,Fut7,Rpl24,Rbm39,Rbm39,Rexo2,Mospd3,Pdia3,Pdia3,Ubb,Phgdh,Cycs,B2m,Cox8a,Hist1h2bc,Aldh1a1,Arpc1a,Srsf7,Lyar,Eif1,Xist,Rpl14,Pfn1,Cox5b,Rpl22l1,Phgdh,Ddost,Cbx3,Rps4x,Dnmt1,Emp3,Pa2g4,Gsr,Hspa8,Dnmt1
139,Dstn,Zfp467,Smim6,Rpl21,Rpl22l1,Rpl22l1,Sec11c,Cst3,Rpl22l1,Cbx3,Rpl21,Fgf3,Pfn1,Eif1,Eif1,Phb2,Emp3,Erdr1,Erdr1,Phgdh,Rpl22l1,Rpl17,Tmem238,Hmgn1,Hlf,Eva1b,Nasp,Cox5b,Ddx21,Dek,Rbm39,Srm,Srsf7,H2afj,Rpl21,Rpl22l1,Tmed2,Rps25,Serf2,Prdx5,Cst3,Dnmt1,Cbx3,Zfp706,Prdx5
140,Prmt2,Stxbp4,Pik3ip1,Atp5o,Rpl21,Rpl21,Mospd3,Cbx3,Rpl21,Cyba,Baz1a,Gna14,Srsf7,Dek,Atad2,Alad,Cbx3,Gmfg,Ubb,Rpl22l1,Rpl21,Cd47,Gpx4,Lyar,Mast4,Nkx2-3,Psip1,Eef1a1,C1qbp,Rpl10a,Eif1,Dynll1,Etfb,B2m,Atp5o,Rpl21,Erp29,Ptma,Sec11c,Rps2,Cyba,Prdx5,Ptma,Set,Rps2
141,Tie1,Amn1,Bcl3,Ddost,Atp5o,Lgals9,Rps4x,Ptma,Baz1a,Gsr,Atp5o,Ankrd12,Etfb,Rpl10a,Dek,H3f3b,Cyba,Ubb,Phgdh,Rpl21,Baz1a,Rpl24,Cox8a,Ddx21,Smim6,Nceh1,Rfc2,H2afj,Laptm4a,Eef2,Atad2,Cycs,Cox5b,Metap2,Ddost,Atp5o,Nolc1,Hspa8,Emp3,Slbp,Cbx3,Rps2,H2-K1,Pa2g4,Slbp
142,Hdgfrp3,Gns,B4galt6,Tmed2,Ddost,Lamp1,Emp3,H2-K1,Lamp1,Arhgdib,Ddost,Trib2,Cox5b,Eef2,Rpl10a,Serf2,Arhgdib,Phgdh,Rpl22l1,Baz1a,Atp5o,Pfn1,Hmgn1,C1qbp,Otos,H2-Q4,Rpl30,B2m,Bst2,Ifitm2,Dek,Rpl17,Eef1a1,Gpx4,Tmed2,Ubac1,Uqcrq,Zfp706,Cst3,Rps8,Arhgdib,Slbp,Hspa8,Dnmt1,Rps8
143,Ahdc1,Ctsf,Sertad3,Erp29,Tmed2,Atp5o,Cst3,Hspa8,Atp5o,Ptma,Tmed2,Optn,Eef1a1,Ifitm2,Eef2,Ly6e,Ptma,Rpl22l1,Rpl21,Atp5o,Ddost,Srsf7,Lyar,Laptm4a,Serpina3g,Gm16152,Rpl14,Gpx4,Eif5a,Serbp1,Rpl10a,Cd47,Arpc1b,Cox8a,Erp29,Ddost,Slc25a5,Set,Cbx3,Hnrnpd,Ptma,Rps8,Zfp706,mt-Cytb,Hnrnpd
144,Zfp36,Klf7,Anxa5,Nolc1,Erp29,Ddost,Cyba,Zfp706,Ddost,H2-K1,Erp29,Apoe,Arpc1b,Serbp1,Ifitm2,Sec11c,H2-K1,Rpl21,Atp5o,Ddost,Tmed2,Cox5b,Ddx21,Bst2,Pcdh7,0610009L18Rik,Psmb10,Cox8a,Naca,Psme1,Eef2,Rpl24,H2afj,Hmgn1,Nolc1,Tmed2,Tspo,Gatad1,Rps25,Rpl9,H2-K1,Hnrnpd,Set,Prdx5,Rpl9
145,Lysmd2,Ptms,Cers4,Uqcrq,Nolc1,Tmed2,Gsr,Set,Tmed2,Hspa8,Nolc1,Slc45a3,H2afj,Psme1,Serbp1,Mospd3,Hspa8,Atp5o,Ubac1,Tmed2,Erp29,Eef1a1,C1qbp,Eif5a,Bbc3,Itih5,Srm,Hmgn1,Dut,mt-Nd1,Ifitm2,Pfn1,B2m,Lyar,Uqcrq,Erp29,Rexo2,Pa2g4,Ptma,Clspn,Hspa8,Rpl9,Pa2g4,Rps2,Clspn
146,Mkl2,Fosb,Hoxa10,Pnp,Uqcrq,Nolc1,Cbx3,Pa2g4,Erp29,Zfp706,Uqcrq,Bex6,B2m,mt-Nd1,Psme1,Rps4x,Zfp706,Ddost,Ddost,Erp29,Nolc1,H2afj,Laptm4a,Naca,Endov,Rbp1,Cycs,Lyar,Gmnn,Nasp,Serbp1,Srsf7,Metap2,C1qbp,Slc25a5,Nolc1,H3f3b,Dnmt1,Hspa8,Alyref,Zfp706,Clspn,Dnmt1,Slbp,Alyref
147,Zfp467,Snap47,Tnip3,Slc25a5,Slc25a5,Uqcrq,Ptma,Dnmt1,Nolc1,Set,Slc25a5,Cd37,Metap2,Nasp,mt-Nd1,Emp3,Set,Tmed2,Tmed2,Nolc1,Uqcrq,B2m,Bst2,Dut,Spns2,Maged2,Rpl17,Ddx21,Nop10,Psip1,Psme1,Etfb,Gpx4,Eif5a,Tspo,Uqcrq,Alad,mt-Cytb,Zfp706,Eif1,Set,Alyref,Prdx5,Rps8,Eif1
148,Stxbp4,Ccdc112,Trp53i11,Tspo,Rexo2,Slc25a5,H2-K1,Prdx5,Uqcrq,Pa2g4,Rexo2,Pafah1b3,Gpx4,Psip1,Nasp,Cst3,Pa2g4,Erp29,Erp29,Uqcrq,Slc25a5,Gpx4,Eif5a,Gmnn,Sepp1,Cul9,Cd47,mt-Nd4,Ucp2,Psmb8,mt-Nd1,Tyms,Cox8a,Myl6,Rexo2,Slc25a5,Rps4x,Prdx5,Set,Atad2,Pa2g4,Eif1,Rps2,Hnrnpd,Atad2
149,Amn1,Hist1h2bc,Endov,Rexo2,Phb2,Tspo,Hspa8,Rps2,Pnp,Dnmt1,H3f3b,Fam117a,Cox8a,Psmb8,Psip1,Cyba,Dnmt1,Nolc1,Nolc1,Slc25a5,Rexo2,Cox8a,Naca,Nop10,Zc3h6,Tns1,Rpl24,C1qbp,Hdgf,Rfc2,Nasp,Eef1a1,Hmgn1,Naca,H3f3b,Rexo2,Phb2,Rps2,Pa2g4,Ssr2,Dnmt1,Atad2,Fam96a,Rpl9,Ssr2
150,Gns,Gstm1,Tmem71,Phb2,Alad,Rexo2,Zfp706,Slbp,Slc25a5,Prdx5,Alad,Dnah8,Hmgn1,Rfc2,Psmb8,Cbx3,Prdx5,Uqcrq,Uqcrq,Rexo2,H3f3b,Hmgn1,Dut,Ucp2,Muc13,1500009L16Rik,Pfn1,Laptm4a,Rpl27,Rpl30,Psip1,Cox5b,Lyar,Dut,Alad,H3f3b,Serf2,Slbp,Dnmt1,Rpl10a,Prdx5,Ssr2,Slbp,Clspn,Rpl10a
151,Ctsf,Irf1,St3gal6,Alad,H3f3b,Sh3glb1,Set,Rps8,Tspo,Rps2,Rps4x,Clec4d,Lyar,Rpl30,Rfc2,Arhgdib,Rps2,Pnp,Slc25a5,H3f3b,Alad,Lyar,Gmnn,Hdgf,Insig1,Jund,Srsf7,Bst2,Rps27,Rpl14,Psmb8,H2afj,C1qbp,Gmnn,Rps4x,Alad,Sec11c,Rps8,mt-Cytb,Gnai2,Rps2,Rpl10a,Rps8,Alyref,Gnai2
152,Klf7,Impact,Gm20467,H3f3b,Serf2,Phb2,Pa2g4,Hnrnpd,Rexo2,Fam96a,Phb2,,C1qbp,Calm2,Rpl30,Ptma,Fam96a,Slc25a5,Rexo2,Alad,Rps4x,Ddx21,Nop10,Sepw1,Slc18a2,Dntt,Cox5b,Eif5a,Prdx2,Srm,Rfc2,B2m,Eif5a,Nop10,Phb2,Rps4x,Emp3,Hnrnpd,Prdx5,Eef2,Fam96a,Gnai2,Hnrnpd,Rbm39,Eef2
153,Fosb,Emcn,Ccl4,Serf2,Rps4x,Ly6e,Dnmt1,Rpl9,Phb2,Slbp,Serf2,,Eif5a,Rpl14,Calm2,H2-K1,Slbp,Tspo,Phb2,Rps4x,Phb2,mt-Nd4,Ucp2,Rpl27,Gm5914,Neurl3,Eef1a1,Naca,Tmem14c,Dynll1,Rpl30,Gpx4,Myl6,Ucp2,Serf2,Phb2,Cst3,Rpl9,Rps2,Ifitm2,Slbp,Eef2,Rpl9,Eif1,Ifitm2
154,Snap47,Plekhm2,Sepp1,Rps4x,Sec11c,Serf2,Prdx5,Clspn,Alad,Rps8,Sec11c,,Myl6,Srm,Rpl14,Hspa8,Rps8,Rexo2,Alad,Phb2,Serf2,C1qbp,Hdgf,Rps27,Socs1,Gem,H2afj,Dut,Mcm7,Cycs,Rpl14,Cox8a,Naca,Hdgf,Sec11c,Serf2,Cyba,Clspn,Slbp,Serbp1,Rps8,Ifitm2,Alyref,Atad2,Serbp1
155,Ccdc112,Rgcc,Mdfi,Sec11c,Tk1,Rps4x,Rps2,Alyref,H3f3b,Hnrnpd,Atrx,,Naca,Dynll1,Srm,Zfp706,Hnrnpd,Phb2,H3f3b,Serf2,Sec11c,Laptm4a,Sepw1,Prdx2,Calcrl,Plxna4os1,B2m,Gmnn,H2afz,Rpl17,Srm,Hmgn1,Dut,Rpl27,Atrx,Sec11c,Gsr,Alyref,Rps8,Parp1,Hnrnpd,Serbp1,Eif1,Ssr2,Parp1
156,Hist1h2bc,Csgalnact1,Zc3h6,Atrx,Atrx,Sec11c,Fam96a,Eif1,Serf2,Rpl9,Emp3,,Dut,Cycs,Dynll1,Set,Rpl9,Alad,Serf2,Sec11c,Tk1,Bst2,Rpl27,Tmem14c,Tcf15,Camk2d,Gpx4,Nop10,Rpl6,Cd47,Dynll1,Lyar,Gmnn,Rps27,Emp3,Atrx,Cbx3,Rbm39,Hnrnpd,Psme1,Rpl9,Parp1,Ssr2,Vimp,Psme1
157,Gstm1,S100a6,Lpp,Emp3,Emp3,Emp3,Slbp,Atad2,Rps4x,Alyref,Cbx3,,Gmnn,Rpl17,Cycs,Pa2g4,Alyref,H3f3b,Rps4x,Atrx,Atrx,Eif5a,Rps27,Mcm7,Wbscr27,Fam134b,Cox8a,Ucp2,H2-D1,Rpl24,Cycs,C1qbp,Nop10,Prdx2,Cst3,Emp3,Rps25,Eif1,Rpl9,Nasp,Alyref,Psme1,Rpl10a,Dek,Nasp
158,Irf1,Slc2a3,Ptafr,Cst3,Cst3,Cst3,Rps8,Ssr2,Sec11c,Eif1,Cyba,,Nop10,Cd47,Rpl17,Dnmt1,Eif1,Serf2,Sec11c,Emp3,Emp3,Naca,Prdx2,H2afz,Exoc6b,Pcp4l1,Hmgn1,Hdgf,Nme1,Pfn1,Rpl17,mt-Nd4,Ucp2,Tmem14c,Cyba,Cst3,Ptma,Atad2,Clspn,Hsp90b1,Eif1,Arpc1a,Gnai2,Rpl10a,Hsp90b1
159,Impact,Prkcdbp,Adrb2,Cyba,Cyba,Cbx3,Hnrnpd,Rpl10a,Emp3,Ssr2,Gsr,,Ucp2,Rpl24,Cd47,Prdx5,Ssr2,Rps4x,Tk1,Cbx3,Cbx3,Dut,Tmem14c,Rpl6,Gm26735,Dst,Lyar,Rpl27,Hnrnpa1,Srsf7,Cd47,Eif5a,Hdgf,Mcm7,Cbx3,Cyba,H2-K1,Ssr2,Alyref,Psip1,Ssr2,Nasp,Eef2,Gnai2,Psip1
160,Emcn,Hlf,Rnf122,Cbx3,Cbx3,Rps25,Rpl9,Gnai2,Cst3,Rpl10a,Rps25,,Hdgf,Pfn1,Rpl24,Rps2,Rpl10a,Sec11c,Atrx,Cyba,Cyba,Gmnn,Mcm7,H2-D1,Sipa1l1,Fchsd2,Ddx21,Rps27,Hnrnpa2b1,Etfb,Rpl24,Myl6,Rpl27,H2afz,Rps25,Cbx3,Hspa8,Vimp,Rbm39,Rfc2,Rpl10a,Hsp90b1,Ifitm2,Eef2,Rfc2
161,Plekhm2,Rhof,Slfn2,Rps25,Rps25,Ptma,Alyref,Eef2,Cyba,Gnai2,Ptma,,Rpl27,Srsf7,Pfn1,Fam96a,Gnai2,Atrx,Emp3,Rps25,Rps25,Nop10,H2afz,Nme1,Psd3,Ppp1r9a,mt-Nd4,Mcm7,Ppia,Cox5b,Pfn1,Naca,Rps27,Rpl6,Ptma,Rps25,Zfp706,Dek,Eif1,Rpl30,Gnai2,Psip1,Serbp1,Serbp1,Rpl30
162,Csgalnact1,Dennd5b,Mgst1,Ptma,Ptma,Hspa8,Eif1,Ifitm2,Gsr,Eef2,H2-K1,,Hmbs,Etfb,Srsf7,Slbp,Eef2,Emp3,Cst3,Ptma,Ptma,Ucp2,Rpl6,Hnrnpa1,Gchfr,Tmem140,C1qbp,H2afz,,Eef1a1,Srsf7,Dut,Prdx2,H2-D1,H2-K1,Ptma,Set,Rpl10a,Atad2,Aldoa,Eef2,Rfc2,Parp1,Parp1,Aldoa
163,S100a6,Mast4,Insig1,H2-K1,H2-K1,Zfp706,Ssr2,Serbp1,Cbx3,Ifitm2,Hspa8,,Rps27,Cox5b,Etfb,Rps8,Ifitm2,Cst3,Cyba,H2-K1,H2-K1,Hdgf,H2-D1,Hnrnpa2b1,Lmo4,Hivep3,Laptm4a,Rpl6,,Arpc1b,Etfb,Gmnn,Tmem14c,Nme1,Hspa8,H2-K1,Pa2g4,Gnai2,Ssr2,Rpl14,Ifitm2,Rpl30,Ifi47,Psme1,Rpl14
164,Slc2a3,Klf2,Tbkbp1,Hspa8,Elf1,Set,Rpl10a,Parp1,Rps25,Serbp1,Zfp706,,Prdx2,Eef1a1,Tyms,Hnrnpd,Serbp1,Cyba,Cbx3,Hspa8,Hspa8,Sepw1,Nme1,Ppia,Cd72,1700040L02Rik,Eif5a,H2-D1,,H2afj,Tyms,Nop10,Mcm7,Hnrnpa1,Zfp706,Hspa8,Dnmt1,Eef2,Vimp,Srm,Serbp1,Aldoa,Psme1,mt-Nd1,Srm
165,Prkcdbp,Tcf7l2,Car2,Zfp706,Hspa8,Pa2g4,Gnai2,Psme1,Ptma,Parp1,Set,,Tmem14c,Arpc1b,Eef1a1,Rpl9,Parp1,Cbx3,Rps25,Zfp706,Zfp706,Rpl27,Hnrnpa1,,Kalrn,Maml2,Naca,Nme1,,B2m,Eef1a1,Ucp2,H2afz,Hnrnpa2b1,Set,Zfp706,mt-Cytb,Serbp1,Dek,Dynll1,Parp1,Rpl14,Arpc1a,Nasp,Dynll1
166,Stard10,Tcp11l2,Serpinf1,Set,Zfp706,Dnmt1,Eef2,Arpc1a,H2-K1,Psme1,Pa2g4,,Mcm7,H2afj,Arpc1b,Alyref,Psme1,Rps25,Ptma,Set,Set,Rps27,Hnrnpa2b1,,Ndrg1,Ctnnal1,Dut,Hnrnpa1,,Metap2,Arpc1b,Hdgf,Rpl6,Ppia,Pa2g4,Set,Prdx5,Parp1,Rpl10a,Cycs,Ifi47,Psmb10,Nasp,Hsp90b1,Cycs
167,Hlf,Smim6,Casp12,Pa2g4,Set,mt-Cytb,Ifitm2,Nasp,Hspa8,Nasp,Dnmt1,,H2afz,B2m,Cox5b,Eif1,Nasp,Ptma,H2-K1,Pa2g4,Pa2g4,Mcm7,Ppia,,Dapp1,Msmo1,Gmnn,Hnrnpa2b1,,Gpx4,Cox5b,Rpl27,H2-D1,Rrm2,Dnmt1,Pa2g4,Rps2,Psme1,Gnai2,Sdf2l1,Psme1,Srm,Hsp90b1,Psip1,Sdf2l1
